psraid,sample,state,cregion,usr,pial1a,pial2,pial3a,pial3b,pial3c,employ,par,sex,age,educ2,hisp,race,inc
507,Cell,New Hampshire,Northeast,Urban,Yes,Not sure/Don't know,"Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,67,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Black or African-American,"$150,000 or over"
508,Cell,North Carolina,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","No, have not done this",Employed full-time,Yes,Male,48,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$150,000 or over"
509,Cell,Florida,South,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Not employed,Yes,Male,49,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
510,Cell,Ohio,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,Yes,Male,35,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000"
511,Cell,New Jersey,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Not employed,Yes,Female,37,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,(DO NOT READ) Donêt know/Refused
512,Cell,Texas,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,34,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$75,000 to under $100,000"
513,Cell,Arkansas,South,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Not employed,No,Male,18,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$50,000 to under $75,000"
514,Cell,North Carolina,South,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","Yes, have done this",Employed full-time,No,Female,58,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$150,000 or over"
515,Cell,Kentucky,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,50,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
516,Cell,Texas,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,77,"Some college, no degree (includes some community college)",No,Native American/American Indian,"$40,000 to under $50,000"
517,Cell,Florida,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,55,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"Less than $10,000"
518,Cell,Mississippi,South,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,38,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$75,000 to under $100,000"
519,Cell,New Jersey,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,30,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$50,000 to under $75,000"
520,Cell,Kansas,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,63,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
521,Cell,Ohio,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,22,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
522,Cell,Tennessee,South,Rural,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,60,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$10,000 to under $20,000"
523,Cell,New York,Northeast,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,51,Two year associate degree from a college or university,No,White,"$20,000 to under $30,000"
524,Cell,South Carolina,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,63,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
525,Cell,Indiana,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Female,40,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
526,Cell,Georgia,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,Yes,Female,27,"Some college, no degree (includes some community college)",No,Black or African-American,"Less than $10,000"
527,Cell,Arkansas,South,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","No, have not done this",Employed part-time,No,Male,24,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000"
528,Cell,Tennessee,South,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,40,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$30,000 to under $40,000"
529,Cell,Wisconsin,Midwest,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,69,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
530,Cell,Illinois,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,38,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000"
531,Cell,Pennsylvania,Northeast,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,68,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$30,000 to under $40,000"
532,Cell,Mississippi,South,Rural,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Female,NA,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
533,Cell,North Carolina,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","Yes, have done this",Employed full-time,Yes,Male,47,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"Less than $10,000"
534,Cell,New York,Northeast,Rural,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,58,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
535,Cell,New Jersey,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,55,Two year associate degree from a college or university,No,White,"$100,000 to under $150,000"
536,Cell,Wisconsin,Midwest,Rural,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,45,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
537,Cell,North Carolina,South,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,43,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$30,000 to under $40,000"
538,Cell,New York,Northeast,Urban,Yes,Not sure/Don't know,"Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,41,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$30,000 to under $40,000"
539,Cell,Illinois,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,Yes,Female,35,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$75,000 to under $100,000"
540,Cell,Kentucky,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Female,36,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$20,000 to under $30,000"
541,Cell,Arizona,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,59,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
542,Cell,New Mexico,West,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,39,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
543,Cell,Utah,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,69,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,(DO NOT READ) Donêt know/Refused
544,Cell,Connecticut,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,Yes,Female,64,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
545,Cell,Arizona,West,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Female,39,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",Yes,Other (SPECIFY),"$30,000 to under $40,000"
546,Cell,Florida,South,Rural,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,No,Female,19,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
547,Cell,Colorado,West,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,48,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
548,Cell,Florida,South,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","No, have not done this",Not employed,Yes,Female,34,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000"
549,Cell,Texas,South,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,20,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
550,Cell,North Dakota,Midwest,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,31,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
551,Cell,Illinois,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed full-time,No,Male,26,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
552,Cell,Texas,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,63,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000"
553,Cell,Washington,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,56,"Some postgraduate or professional schooling, no postgraduate degree",No,White,"$10,000 to under $20,000"
554,Cell,Arkansas,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,20,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
555,Cell,Florida,South,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","No, have not done this",Employed full-time,No,Male,59,Two year associate degree from a college or university,No,White,"$20,000 to under $30,000"
556,Cell,Virginia,South,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,37,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$75,000 to under $100,000"
557,Cell,Florida,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,25,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000"
558,Cell,Pennsylvania,Northeast,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed full-time,Yes,Female,44,Two year associate degree from a college or university,No,White,"$50,000 to under $75,000"
559,Cell,Utah,West,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,24,High school graduate (Grade 12 with diploma or GED certificate),Yes,Other (SPECIFY),"$20,000 to under $30,000"
560,Cell,Mississippi,South,Rural,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","No, have not done this",Not employed,No,Female,18,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
561,Cell,Colorado,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,53,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$30,000 to under $40,000"
562,Cell,Michigan,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,37,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
563,Cell,Missouri,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,40,"Some college, no degree (includes some community college)",No,Black or African-American,"$20,000 to under $30,000"
564,Cell,Oregon,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed part-time,Yes,Male,34,High school graduate (Grade 12 with diploma or GED certificate),Yes,White,"$75,000 to under $100,000"
565,Cell,Indiana,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed full-time,Yes,Female,23,High school graduate (Grade 12 with diploma or GED certificate),No,Mixed race,"$20,000 to under $30,000"
566,Cell,North Carolina,South,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,64,"Some postgraduate or professional schooling, no postgraduate degree",No,White,"Less than $10,000"
567,Cell,Tennessee,South,Rural,Yes,"No, not a smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,56,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
568,Cell,Minnesota,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed full-time,No,Female,32,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000"
569,Cell,California,West,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,48,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
570,Cell,Texas,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,Yes,Female,34,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$75,000 to under $100,000"
571,Cell,Pennsylvania,Northeast,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,74,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
572,Cell,Arizona,West,Rural,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,32,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",Yes,White,"$50,000 to under $75,000"
573,Cell,Utah,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,52,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000"
574,Cell,North Carolina,South,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","No, have not done this",Not employed,Yes,Female,28,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
575,Cell,Virginia,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,Yes,Female,36,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Black or African-American,"$75,000 to under $100,000"
576,Cell,North Carolina,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,64,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"$10,000 to under $20,000"
577,Cell,Pennsylvania,Northeast,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,47,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
578,Cell,Indiana,Midwest,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","Yes, have done this",Employed part-time,No,Female,71,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"Less than $10,000"
579,Cell,New York,Northeast,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,25,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$50,000 to under $75,000"
580,Cell,Maryland,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,55,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
581,Cell,North Carolina,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","No, have not done this",Employed part-time,No,Male,21,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$100,000 to under $150,000"
582,Cell,Pennsylvania,Northeast,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,57,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
583,Cell,Ohio,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,36,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000"
584,Cell,North Carolina,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,No,Male,25,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
585,Cell,Michigan,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this",(DO NOT READ) Don't know,(DO NOT READ) Don't know,Employed full-time,Yes,Male,41,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
586,Cell,Florida,South,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,22,Two year associate degree from a college or university,Yes,White,"$20,000 to under $30,000"
587,Cell,New York,Northeast,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,50,"Some college, no degree (includes some community college)",No,(DO NOT READ) Donêt know/Refused,(DO NOT READ) Donêt know/Refused
588,Cell,Georgia,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,42,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$40,000 to under $50,000"
589,Cell,Ohio,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,59,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,(DO NOT READ) Donêt know/Refused
590,Cell,South Carolina,South,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Male,31,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$20,000 to under $30,000"
591,Cell,Ohio,Midwest,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,56,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$100,000 to under $150,000"
592,Cell,Florida,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,68,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
593,Cell,North Carolina,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,Yes,Male,49,"Some postgraduate or professional schooling, no postgraduate degree",No,Black or African-American,"$50,000 to under $75,000"
594,Cell,Georgia,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,35,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
595,Cell,Alabama,South,Rural,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,69,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"Less than $10,000"
596,Cell,Texas,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,64,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$150,000 or over"
597,Cell,Texas,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Female,63,Two year associate degree from a college or university,No,Black or African-American,"$20,000 to under $30,000"
598,Cell,California,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,54,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000"
599,Cell,Michigan,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,27,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$10,000 to under $20,000"
600,Cell,Missouri,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Female,41,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$10,000 to under $20,000"
601,Cell,California,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,73,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
602,Cell,Washington,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,35,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000"
603,Cell,California,West,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,35,High school graduate (Grade 12 with diploma or GED certificate),Yes,Black or African-American,"$50,000 to under $75,000"
604,Cell,Washington,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Female,72,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Native American/American Indian,"$30,000 to under $40,000"
605,Cell,Tennessee,South,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed part-time,No,Male,18,"Some college, no degree (includes some community college)",No,White,"$100,000 to under $150,000"
606,Cell,Wisconsin,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,21,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Asian or Pacific Islander,"$100,000 to under $150,000"
607,Cell,Missouri,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Female,51,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
608,Cell,Washington,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,Yes,Female,32,"Some college, no degree (includes some community college)",Yes,Black or African-American,"Less than $10,000"
609,Cell,Wisconsin,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,52,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
610,Cell,Texas,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","No, have not done this",Employed full-time,No,Male,52,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$100,000 to under $150,000"
611,Cell,Illinois,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",(DO NOT READ) Donêt know/Refused,Yes,Female,NA,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Mixed race,(DO NOT READ) Donêt know/Refused
612,Cell,Minnesota,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,49,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
613,Cell,Kentucky,South,Rural,Yes,"Yes, smartphone","No, have not done this","No, have not done this","Yes, have done this",Not employed,No,Female,53,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",Yes,White,"Less than $10,000"
614,Cell,Oregon,West,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,65,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
615,Cell,California,West,Suburban,Yes,"No, not a smartphone","No, have not done this",Cell phone is not able to do this (VOL.),Cell phone is not able to do this (VOL.),Not employed,No,Male,77,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
616,Cell,Colorado,West,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,54,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$150,000 or over"
617,Cell,Colorado,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,79,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$20,000 to under $30,000"
618,Cell,Utah,West,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,67,Two year associate degree from a college or university,No,White,"Less than $10,000"
619,Cell,Texas,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Male,27,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Black or African-American,"$30,000 to under $40,000"
620,Cell,Missouri,Midwest,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,60,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
621,Cell,Missouri,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,37,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
622,Cell,Illinois,Midwest,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,No,Male,27,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
623,Cell,Louisiana,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Female,52,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"Less than $10,000"
